Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Night Catcher,Exsom ,Exsom ,Sim,19,Positive,1,Não,Não,22 Mar 2019,3,0,3,,,,,"6,49"
X: Beyond the Frontier,Egosoft ,Egosoft ,Não,173,Mostly Positive,1,Sim,Não,1 Jul 1999,2,2,0,,,,,"8,49"
他人世界末 On-looker,8A studio ,昆布科技 ,Sim,854,Very Positive,1,Sim,Não,10 Jul 2020,2,1,1,INTEL-CORE-I3-2,4,outros,10,"18,59"
Grab the Bottle,Kamina Dimension ,Kamina Dimension ,Sim,40,Positive,3,Não,Não,22 May 2017,4,4,4,,,,,"6,49"
Oil Rush,Unigine Corp. ,Unigine Corp. ,Sim,101,Mixed,3,Sim,Não,25 Jan 2012,3,2,0,outros,2,NVIDIA-GTX-460,,"15,99"
Spaceman Sparkles 2,tjern ,tjern ,Não,46,Positive,1,Não,Não,20 May 2015,1,0,0,outros,8,outros,0.025,"6,29"
Ballads of Reemus: When the Bed Bites,ClickShake Games LLC ,ClickShake Games LLC ,Sim,37,Positive,1,Não,Não,27 Jan 2012,1,1,1,,,,,"10,49"
Cake Mania Main Street™,Sandlot Games ,Sandlot Games ,Não,22,Mostly Positive,1,Não,Não,16 Feb 2010,1,0,0,,,,,"11,99"
Skeletal Dance Party,"Catalope Games, No Studio in Particular ",Catalope Games ,Sim,31,Positive,3,Não,Não,22 Oct 2018,1,1,1,,,,,"18,59"
Schastye,Garage Heathen ,Nikita Kaf Publishing ,Sim,43,Mostly Positive,1,Sim,Não,27 Aug 2020,3,0,3,,,,0.5,"2,29"
To Hell with Hell,Lazurite Games ,"Deck13, WhisperGames ",Sim,21,Mixed,1,Não,Não,25 Feb 2020,4,0,0,outros,4,outros,2.0,"32,99"
黑色花与红山羊 / Black Datura & Red Goat,"Angels Blue Digital Entertainment, Ladomu ",Gamera Game ,Sim,133,Very Positive,1,Não,Não,21 Aug 2020,2,0,1,,,,,"25,59"
Fire Arrow Plus,Team Grybanser Fox ,Team Grybanser Fox ,Sim,23,Positive,1,Não,Não,1 Feb 2017,1,0,0,outros,0.512,outros,0.05,"10,49"
Skipper - Puzzle Across The Sea,2xMilk ,2xMilk ,Sim,13,Positive,3,Não,Não,18 Oct 2017,26,26,26,,,,,"8,69"
Railroad X,"TREND, Soft Pro ",Koch Media ,Não,36,Mixed,1,Não,Não,9 Jun 2014,1,1,0,outros,8,outros,4,"32,99"
NEO NEO,Kastrye ,Kastrye ,Sim,24,Positive,1,Não,Não,16 Jun 2018,1,0,0,,,,,"2,29"
Bounce,Mikhail Melnikov ,SA Industry ,Sim,18,Positive,3,Não,Não,2 Apr 2018,2,0,0,outros,0.512,outros,0.12,"20,69"
Bridge Constructor Stunts,ClockStone ,Headup ,Não,47,Mixed,3,Não,Não,23 Feb 2016,13,0,0,,,,,"19,99"
Drink 'Em,Nikkihends Production ,Nikkihends Production ,Sim,24,Positive,1,Não,Sim,12 Oct 2018,12,12,0,,,,,"12,39"
The Twins,Randumb Studios ,Randumb Studios ,Não,22,Positive,1,Não,Não,24 Jan 2020,1,1,1,,,,,"4,49"
Mommy,КиКо ,КиКо ,Sim,44,Very Positive,1,Não,Não,27 Jan 2020,2,0,0,,,,,"4,49"
The Strange Story Of Brian Fisher: Chapter 1,Intetic ,Intetic ,Sim,26,Positive,1,Não,Não,29 Apr 2020,8,1,8,outros,8,NVIDIA-GEFORCE-GTX-1060,8,"14,49"
Viktor,Shorebound Studios ,Shorebound Studios ,Sim,160,Mostly Positive,1,Não,Não,13 Jun 2014,1,0,1,outros,6,outros,0.35,"15,99"
Super Arcade Football,OutOfTheBit Ltd ,OutOfTheBit Ltd ,Sim,122,Mixed,1,Não,Sim,4 Apr 2016,2,1,1,outros,4,NVIDIA-GEFORCE-GTX-560,2,"10,89"
Bars and Balance,Mykhail Konokh ,Mykhail Konokh ,Sim,42,Positive,1,Sim,Não,10 Nov 2017,1,0,0,outros,6,NVIDIA-GEFORCE-GTX-660,1,"6,29"
Damascus Gear Operation Tokyo HD,Arc System Works ,Arc System Works ,Não,26,Mixed,1,Sim,Não,8 Aug 2017,2,0,2,,,,,"27,99"
Lode Runner Legacy,"Tozai Games, Inc., O-TWO inc., ESQUADRA,inc. ","Tozai Games, Inc. ",Não,83,Very Positive,1,Sim,Não,13 Jul 2017,8,0,0,,,,,"36,99"
Kairo,Locked Door Puzzle ,Lupus Studios Limited ,Sim,1399,Mostly Positive,3,Sim,Não,24 Apr 2013,5,5,0,,,,,"10,89"
SOK MIN,Siberian Mouse ,Siberian Mouse ,Sim,34,Positive,1,Sim,Não,20 Apr 2018,2,0,2,,,,,"6,49"
God of Word,Mega Dwarf Inc. ,Mega Dwarf Inc. ,Sim,75,Mostly Positive,2,Sim,Sim,28 Sep 2016,7,0,7,,,,,"10,49"
The Under Presents,Tender Claws ,Tender Claws ,Não,54,Very Positive,1,Não,Sim,19 Nov 2019,1,1,0,INTEL-CORE-I7-4770,8,NVIDIA-GEFORCE-GTX-1060,4,"24,89"
Void Memory,Gustav ,PsychoFlux Entertainment ,Sim,157,Mixed,1,Sim,Não,30 Oct 2017,2,0,2,,,,,"28,99"
Wings of Glass 玻璃の羽,Sayuri Artsy ,Eager Passion LLC ,Sim,30,Positive,2,Não,Não,11 Feb 2019,2,2,2,outros,8.192,outros,0.4,"12,39"
Pear Quest,Sokpop Collective ,Sokpop Collective ,Sim,15,Positive,2,Não,Não,19 May 2019,1,0,0,,,,,"6,49"
Space Pilgrim Academy: Year 3,Pilgrim Adventures , GrabTheGames ,Sim,30,Positive,1,Não,Não,12 Oct 2018,1,0,1,,,,,"4,49"
Tank Royale,BSS company ,BSS company ,Sim,43,Positive,2,Não,Sim,1 Apr 2019,3,3,3,INTEL-CORE-I7-3,8,NVIDIA-GEFORCE-GTX-750,1,"39,00"
Faerie Solitaire Dire,Subsoap ,Puppygames ,Sim,17,Mostly Positive,3,Sim,Não,7 Sep 2020,1,0,0,,,,,"20,69"
Ruination,Zachary Lee ,Zachary Lee ,Sim,22,Mostly Positive,1,Não,Não,8 Mar 2019,1,0,0,,,,,"2,29"
Runaway: A Twist of Fate,Pendulo Studios ,Focus Home Interactive ,Não,242,Very Positive,1,Sim,Não,21 Apr 2011,4,0,0,,,,,"19,90"
NetHack: Legacy,"FrozenCrate, LLC ","FrozenCrate, LLC ",Sim,23,Mostly Positive,3,Não,Não,10 Aug 2018,1,0,0,,,,,"12,39"
Monster Hunting... For Love!,DyneWulf ,WolfBite Interactive ,Sim,20,Positive,3,Não,Não,31 Oct 2018,1,0,0,,,,,"8,69"
Trivia Vault: Tennis Trivia,Ripknot Systems ,Ripknot Systems ,Não,17,Mostly Positive,1,Sim,Não,19 Apr 2018,1,1,1,,,,,"39,99"
Chaos Sector 混沌宙域,Han Zhiyu ,Han Zhiyu ,Sim,43,Mostly Positive,1,Sim,Não,8 Oct 2018,4,0,4,,,,,"20,69"
Life of a Wizard,Hosted Games ,Hosted Games ,Sim,48,Positive,3,Não,Não,27 Feb 2013,1,0,1,,,,,"6,49"
Bird Simulator,GameFlare.com ,Gametoria ,Sim,31,Mixed,1,Não,Sim,7 Jan 2020,1,1,0,,,,,"20,69"
Space Rogue Classic,"ORIGIN Systems, Inc. ","ORIGIN Systems, Inc., Nightdive Studios ",Não,16,Positive,2,Não,Não,1 Jan 1989,1,0,1,outros,1,outros,0.05,"11,99"
Immortal Darkness: Curse of The Pale King,Giant Space Monster ,Giant Space Monster ,Sim,37,Positive,1,Sim,Não,17 Oct 2018,1,1,1,INTEL-CPU-CORE-I7-2600,4,NVIDIA-GEFORCE-GTX-1060,1,"10,89"
Extreme-G 2,Acclaim Cheltenham ,Throwback Entertainment ,Não,70,Mixed,1,Não,Não,17 Nov 1998,5,1,0,outros,4,outros,2,"12,39"
TAURONOS,"cavalie_ro, S.C. 16 BIT NIGHTS S.R.L. ",S.C. 16 BIT NIGHTS S.R.L. ,Sim,42,Positive,1,Sim,Não,4 Aug 2017,9,1,9,outros,4,outros,0.7,"10,49"
The Last Warlock,Sonic Sloth ,Sonic Sloth ,Sim,34,Positive,3,Não,Não,24 Aug 2015,1,0,0,outros,2,outros,0.3,"10,89"
East India Company,Nitro Games ,Nitro Games ,Não,109,Mixed,1,Não,Não,31 Jul 2009,3,0,0,outros,2,outros,,"19,99"
Massive Assault: Phantom Renaissance,Wargaming.net ,Wargaming.net ,Não,22,Positive,1,Não,Não,3 Mar 2005,1,0,0,,,,,"19,99"
Vindictive Drive,Secret Society Games ,Sometimes You ,Sim,11,Positive,1,Não,Não,15 May 2017,2,0,2,INTEL-PENTIUM-4-,0.512,outros,0.585,"6,29"
Poker Hands,Minimol Games ,Minimol Games ,Não,24,Positive,2,Sim,Não,26 Mar 2020,1,1,1,,,,,"2,29"
Soundboxing,Maxint LLC ,Maxint LLC ,Não,540,Very Positive,1,Não,Não,29 Sep 2016,1,0,0,outros,16,NVIDIA-GEFORCE-GTX-1070,10,"30,99"
Geeksos,Steppe Hare Studio ,Steppe Hare Studio ,Sim,40,Positive,1,Sim,Não,16 Apr 2019,2,0,0,,,,,"8,69"
Sparkle Unleashed,10tons Ltd ,10tons Ltd ,Sim,25,Mostly Positive,1,Sim,Não,14 Apr 2014,1,1,1,,,,,"15,99"
A Night at the Races,Mushy Jukebox ,Mushy Jukebox ,Sim,11,Positive,1,Sim,Não,13 Dec 2019,1,0,0,outros,,,0.2,"20,69"
Silk Roads: Caravan Kings,Priory Games ,Priory Games ,Sim,14,Mixed,3,Sim,Não,1 Oct 2020,1,1,1,,,,,"16,99"
Rogue Wizards,Spellbind Studios ,Spellbind Studios ,Sim,118,Mostly Positive,2,Não,Não,27 Sep 2016,4,0,0,,,,,"27,99"
Goblet Cave,Sokpop Collective ,Sokpop Collective ,Sim,11,Positive,2,Não,Não,23 Dec 2019,1,0,0,,,,,"6,49"
Necromancer Returns,Greenolor Studio ,Greenolor Studio ,Sim,61,Mostly Positive,2,Sim,Não,1 Feb 2018,7,0,7,,,,,"20,69"
Capital Simulator,JinDing Chen ,JinDing Chen ,Sim,24,Mixed,2,Sim,Não,8 Sep 2020,7,0,0,outros,8,outros,,"12,39"
War Remains: Dan Carlin Presents an Immersive Memory,Flight School Studio ,MWM Interactive ,Não,63,Mostly Positive,1,Não,Não,21 May 2020,1,1,0,,,,,"10,89"
Griefer,"Cuberz, CharileH ","CasGame, CharileH ",Sim,25,Positive,1,Não,Não,20 Apr 2018,1,0,0,,,,,"2,29"
Castle Battles,Light Arc Studio Ltd ,Light Arc Studio Ltd ,Sim,27,Positive,2,Não,Não,16 Dec 2016,1,1,0,,2,outros,1,"19,99"
1812: Napoleon Wars,First Games Interactive ,First Games Interactive ,Sim,31,Positive,2,Sim,Não,10 Jun 2020,7,0,7,,4.0,,,"14,49"
Slaughter 3: The Rebels,VenomizedArt ,VenomizedArt ,Sim,11,Positive,1,Não,Não,15 Sep 2019,4,1,4,outros,2.0,outros,1.7,"14,49"
Protocol VR,Fair Games Studio ,Fair Games Studio ,Não,35,Mixed,1,Sim,Não,4 Mar 2019,11,2,11,INTEL-CORE-I5-4590,8,GEFORCE-GTX-970,8,"29,99"
Putt-Putt® and Fatty Bear's Activity Pack,Humongous Entertainment ,"Humongous Entertainment, Nightdive Studios ",Não,33,Positive,3,Não,Não,25 Mar 1994,1,1,1,outros,0.512,outros,0.512,"10,49"
Journey to the Center of the Earth,Frogwares ,Frogwares ,Não,15,Mixed,1,Não,Não,13 Nov 2003,8,1,1,,,,,"10,49"
Soma Spirits: Rebalance,Torch60 ,Torch60 ,Sim,23,Positive,1,Não,Não,13 Apr 2017,1,0,0,,,,,"6,49"
Voodoo Vince: Remastered,"Beep Games, Inc. ","Beep Games, Inc. ",Não,279,Very Positive,1,Sim,Não,18 Apr 2017,4,1,4,outros,4,outros,4,"27,99"
Lament,Radcroc ,Radcroc ,Não,19,Positive,1,Não,Não,31 Mar 2017,1,1,1,,,,,"2,29"
Fighters Wizards,OuroborOs_ ,OuroborOs_ ,Não,31,Positive,1,Não,Sim,18 Apr 2020,1,1,1,,,,,"2,29"
Blake Stone: Planet Strike,JAM Productions ,Apogee Software ,Não,17,Positive,2,Não,Não,28 Oct 1994,1,0,0,,,,,"10,49"
Otaku's Fantasy 2,Dieselmine ,Paradise Project ,Sim,593,Mostly Positive,1,Não,Não,30 Mar 2018,2,1,2,,,,,"4,49"
8-Bit Adventures: The Forgotten Journey Remastered Edition,Critical Games ,Critical Games ,Sim,23,Positive,1,Sim,Não,31 Mar 2015,1,0,0,,,,,"19,99"
Event Horizon,Pavel Zinchenko ,Pavel Zinchenko ,Sim,97,Mostly Positive,3,Não,Não,20 Dec 2018,2,0,0,,,,,"11,99"
Hidden Object - 12 in 1 bundle,Mzone ,Games for All ,Não,89,Mixed,1,Não,Não,1 Sep 2016,5,0,5,,,,,"11,99"
Rain Blood Chronicles: Mirage,- 71% of the 124 user reviews for this game are positive.,Origo Games ,Sim,Mostly,Mostly Positive,1,Não,Não,11 Nov 2013,1,0,0,,,,,"19,99"
Zombie Forest 2,Alexander Tavintsev ,Alexander Tavintsev ,Sim,17,Positive,1,Não,Não,28 May 2018,2,0,2,outros,8,NVIDIA-GTX-460,4,"12,39"
Seiga Kaku uses her amazing Taoist arts and gives you a life lesson,Skuhataagyall dev ,Skuhataagyall dev ,Não,11,Positive,3,Sim,Não,13 Nov 2020,1,0,1,,,,0.143,"2,29"
Startup Valley Adventure,Fair Games Studio ,"Fair Games Studio, Pleasant Rain Ltd ",Sim,23,Mixed,1,Sim,Não,30 Jul 2020,5,2,5,,,,,"18,69"
Comrades and Barons: Solitaire of Bloody 1919,Maris Ozols ,Maris Ozols ,Sim,31,Positive,1,Sim,Não,8 Feb 2018,4,0,0,,,,,"20,69"
illumine,Dejima ,Dejima ,Sim,35,Positive,2,Não,Não,29 Sep 2016,4,0,0,outros,8,outros,0.124,"11,99"
Soul Valley,QuickSave ,QuickSave ,Sim,15,Mostly Positive,1,Sim,Não,25 Jul 2019,1,0,0,outros,8,NVIDIA-GTX-970,2,"20,69"
Simple Machines,Kraken Ink. ,Kraken Ink. ,Sim,16,Positive,1,Não,Não,19 May 2020,29,0,0,,,,,"2,29"
Aesthetic Melody,Adam DeLease ,Adam DeLease ,Sim,42,Positive,3,Não,Não,18 Apr 2017,7,7,0,,,,,"3,14"
Gold Rush! Classic,"The Software Farm, Sunlight Games, Sierra Entertainment ",Sunlight Games ,Não,43,Positive,1,Sim,Não,23 Dec 1988,1,0,1,,,,,"6,49"
farewell planet / おわかれのほし,tokoronyori ,tokoronyori ,Não,14,Positive,2,Não,Não,24 May 2019,2,0,2,,,,,"10,89"
Simple Story - Alex,КиКо ,КиКо ,Não,48,Mostly Positive,1,Não,Não,22 Mar 2018,2,0,2,,,,,"2,29"
Wavey The Rocket,UpperRoom Games Ltd ,UpperRoom Games Ltd ,Sim,12,Positive,1,Sim,Não,7 May 2020,1,0,1,,,,,"37,99"
The Cassir Simulator,Maxim Abramov ,Maxim Abramov ,Sim,10,Positive,1,Sim,Não,30 Sep 2020,2,0,0,,,,,"2,29"
Realms of Arkania 2 - Star Trail Classic,attic Entertainment Software GmbH ,United Independent Entertainment GmbH ,Não,26,Positive,3,Sim,Não,10 Jan 2014,2,2,0,,,,,"4,99"
The Last Archwing,Archwing Entertainment ,Archwing Entertainment ,Sim,11,Positive,1,Não,Não,27 Mar 2020,1,1,1,,8,,,"10,89"
Joint Operations: Combined Arms Gold,NovaLogic ,"NovaLogic, THQ Nordic ",Não,161,Very Positive,1,Não,Sim,18 Aug 2009,1,0,0,,,,,"36,99"
Blame Him,Chilla's Art ,Chilla's Art ,Sim,69,Mixed,1,Sim,Não,2 Jun 2019,8,0,8,INTEL-CORE-I7-4970K,8,NVIDIA-GTX-1060,30,"28,99"
Blastboard,Enigmatic Network ,Enigmatic Network ,Sim,19,Positive,2,Sim,Sim,28 Feb 2020,2,0,2,,8,,,"2,29"
Global Outbreak: Doomsday Edition,ShortRound Games ,ShortRound Games ,Sim,57,Mostly Positive,1,Não,Não,11 Aug 2014,1,1,1,,,,,"17,99"
Super Switch,David Mulder ,SA Industry ,Sim,20,Mostly Positive,1,Não,Não,25 Aug 2016,1,0,0,outros,4,outros,0.3,"2,29"
MY 1980's DASHBOARD,Pippala Games ,Pippala Games ,Sim,45,Positive,1,Não,Não,12 Feb 2018,3,0,0,,,,,"8,69"
永夜之冬,愚蠢的人类 ,愚蠢的人类 ,Sim,15,Positive,1,Sim,Não,7 Sep 2020,7,2,2,outros,,outros,1.3,"10,89"
Game Of Puzzles: Dragons,Snkl Studio ,Snkl Studio ,Sim,41,Positive,1,Sim,Não,9 May 2019,29,29,29,outros,2.048,outros,0.05,"2,27"
Aim Theory - Trainer,Aim Theory Master ,Aim Theory ,Não,11,Mostly Positive,1,Não,Não,15 Nov 2018,1,0,0,,,,,"8,69"
FALL 坠落之后,"朵游社, Fantasia Studio ",Fantasia Studio ,Sim,21,Positive,1,Não,Não,16 Aug 2018,2,0,1,outros,4,outros,1,"7,75"
And All Would Cry Beware!,Renegade Sector Games ,Renegade Sector Games ,Não,36,Positive,2,Não,Não,24 Jun 2019,1,0,0,,,,,"20,69"
Vantage: Primitive Survival Game,Crystal Dragon ,Crystal Dragon ,Sim,39,Mixed,1,Sim,Sim,22 May 2018,1,0,0,,,,,"28,99"
Tiny Hands Adventure,"Blue Sunset Games, Storm Trident S.A. ",Forever Entertainment S. A. ,Sim,11,Positive,1,Sim,Não,10 Aug 2018,1,0,1,,,,,"20,69"
Through Abandoned: The Forest,Igor Krutov ,Kiss Publishing Ltd ,Sim,27,Positive,1,Não,Não,9 Aug 2016,23,23,23,,1.024,,,"6,29"
Mars 2030,FMG Labs ,Fusion Media Group ,Não,55,Mixed,1,Não,Não,31 Jul 2017,1,1,0,outros,8,NVIDIA-GEFORCE-GTX-1080,,"27,99"
Detached,Anshar Studios ,Anshar Studios ,Não,202,Mixed,1,Sim,Sim,18 May 2017,5,1,5,INTEL-CORE-I7-3770K,8,NVIDIA-GTX-980,11,"47,49"
SUPERVERSE,Superverse Industries ,Superverse Industries ,Sim,27,Mostly Positive,1,Não,Não,6 Nov 2019,1,1,0,outros,8,NVIDIA-GEFORCE-GTX-970,2,"24,99"
Timelapse,GTE Entertainment ,Nightdive Studios ,Não,28,Mostly Positive,1,Não,Não,30 Sep 1996,1,0,0,,,,,"11,99"
Dark Matter,InterWave Studios ,Iceberg Interactive ,Sim,169,Mixed,3,Sim,Não,17 Oct 2013,2,2,2,outros,4,GEFORCE-460,1,"19,99"
Choice of the Cat,Choice of Games ,Choice of Games ,Sim,14,Positive,3,Não,Não,28 Sep 2017,1,0,1,,,,,"14,49"
Rogues Like Us,oddByte ,oddByte ,Sim,20,Mostly Positive,2,Não,Não,11 May 2018,1,0,1,INTEL-PENTIUM-CORE-I3-2100,8,NVIDIA-GEFORCE-GTX-750,1,"19,99"
Russian World,"Nikita ""Ghost_RUS"" ",Ghost_RUS Games ,Sim,29,Positive,1,Não,Não,4 Apr 2018,2,0,2,,,,,"2,29"
Trivia Vault: Mini Mixed Trivia 4,Ripknot Systems ,Ripknot Systems ,Sim,36,Mostly Positive,1,Sim,Não,21 Sep 2017,1,1,1,,,,,"39,99"
Waves of Rotting Flesh,Chim Ruoi Games ,Chim Ruoi Games ,Não,33,Positive,1,Sim,Não,8 Jul 2020,1,0,0,,,,,"4,49"
Tree Simulator 2021,Revmatek ,Revmatek ,Sim,42,Very Positive,1,Não,Não,22 May 2020,1,1,0,,,,,"4,49"
Summer Meetings,Mikołaj Spychał ,Mikołaj Spychał ,Sim,23,Positive,3,Não,Não,28 Aug 2019,2,0,2,outros,4,outros,1,"28,99"
Traurig Secrets: Prologue,Nebereal's ,Nebereal's ,Sim,10,Positive,1,Não,Não,28 Aug 2020,2,0,2,outros,4,GEFORCE-GTX-670,2,"4,49"
BUSTED!,Silver Cow Studio ,Silver Cow Studio ,Sim,68,Mostly Positive,2,Não,Não,11 Oct 2016,2,0,2,,,,,"10,49"
The MoneyMakers Rallye,The Unknown Machine ,The Unknown Machine ,Sim,10,Positive,1,Não,Não,4 Dec 2020,10,0,0,,,,0.4,"30,99"
Miracle Fly,ElagoTech ,ElagoTech ,Sim,29,Positive,2,Não,Não,26 Oct 2015,2,0,0,outros,2,outros,0.2,"16,59"
Warm Village 暖暖村物语,多极网络 ,心火游戏 ,Sim,310,Mixed,1,Não,Sim,5 Feb 2020,2,0,1,outros,4,GEFORCE-GTX-750,3,"28,99"
Escape: Close Call,Tarboosh Games ,Tarboosh Games ,Sim,17,Positive,2,Não,Não,24 Mar 2016,3,0,0,,,,,"4,49"
HyperBowl,Technicat LLC ,Technicat LLC ,Sim,25,Positive,2,Não,Não,1 Jul 2018,6,0,0,,,,,"2,29"
Lacuna Passage,Candescent Games ,Candescent Games ,Sim,55,Mostly Positive,2,Não,Não,17 May 2017,1,1,1,,,,,"28,99"
Burly Men at Sea,Brain&Brain ,Brain&Brain ,Sim,141,Mostly Positive,2,Sim,Não,29 Sep 2016,13,0,13,,,,,"20,69"
WarBirds - World War II Combat Aviation,iEntertainment Network Inc ,iEntertainment Network Inc ,Não,45,Mixed,2,Não,Sim,21 Apr 2019,1,0,0,,2,,5,"27,99"
Serious Scramblers,Chinykian Games ,Chinykian Games ,Sim,20,Positive,2,Sim,Não,11 Nov 2019,12,0,0,,,,,"4,49"
Super Jigsaw Puzzle: Monuments,Flat Cat Games ,Flat Cat Games ,Sim,32,Positive,1,Sim,Não,21 Jun 2018,12,0,0,outros,4,outros,0.65,"10,89"
Shmup Arena,Revox Games ,Revox Games ,Sim,16,Positive,1,Sim,Não,17 May 2020,2,0,2,,,,,"4,49"
Uurnog Uurnlimited,Nifflas Games ,Raw Fury ,Sim,33,Mostly Positive,2,Não,Não,16 Nov 2017,11,0,1,outros,,GEFORCE-GTX-650,,"20,69"
Heavens Tournament,InitiativeVR ,InitiativeVR ,Não,28,Mixed,1,Sim,Não,16 Apr 2020,14,1,14,,,,,"16,59"
Lonely in the Winter,SoyeR ,SoyeR ,Sim,26,Positive,1,Não,Não,15 Feb 2018,2,0,2,,,,,"6,49"
Love with Kadyrov,Taxincrease ,Analog Chechen Dudes ,Sim,36,Very Positive,1,Não,Não,11 Mar 2020,11,1,3,,,,,"2,29"
Corrosion: Cold Winter Waiting [Enhanced Edition],Viperante ,Viperante ,Sim,134,Mostly Positive,1,Não,Não,1 Jul 2015,1,1,1,outros,0.512,outros,0.7,"15,99"
VoxFox,Piece Of Voxel ,Piece Of Voxel ,Sim,16,Positive,1,Sim,Não,18 Jun 2020,2,0,0,,,,,"6,49"
This Starry Midnight We Make,CAVYHOUSE ,Carpe Fulgur LLC ,Sim,46,Positive,1,Não,Não,1 Jun 2015,2,0,0,,,,,"19,99"
Warp,Trapdoor Inc. ,Electronic Arts ,Sim,265,Mostly Positive,1,Não,Não,21 Mar 2012,1,0,0,,,,,"19,99"
Farm Frenzy: Pizza Party,Alawar ,iWin ,Não,11,Positive,1,Não,Não,18 Feb 2009,1,0,0,,,,,"10,49"
Attack of the Giant Mutant Lizard,Medicated Games ,Medicated Games ,Sim,17,Positive,3,Sim,Não,21 Jun 2020,5,0,5,,4,,0.5,"4,49"
Ultimate Booster Experience,GexagonVR ,GexagonVR ,Não,279,Mostly Positive,1,Não,Não,16 Apr 2016,7,0,0,outros,8,outros,1.0,"10,49"
Bunny Mahjo,DillyFrame ,DillyFrame ,Sim,20,Positive,2,Sim,Sim,9 Nov 2018,7,0,0,outros,8,NVIDIA-GTX-960,0.6,"6,49"
MOAI 4: Terra Incognita Collector’s Edition,Toyman Interactive ,Buka Entertainment ,Não,15,Positive,2,Não,Não,7 Jun 2016,2,0,2,,,,,"15,99"
Snake Classic,Jam ,Jam ,Sim,95,Mostly Positive,1,Não,Não,5 Feb 2018,1,0,0,outros,,outros,0.02,"4,49"
Slither Link,Zkolibre Studio ,Zkolibre Studio ,Sim,13,Positive,1,Sim,Não,10 Sep 2018,29,0,0,outros,1,outros,0.1,"2,29"
TorqueL,"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com, sanodg (Nobuyoshi Sano), FullPowerSideAttack.com ",PLAYISM ,Sim,18,Positive,1,Sim,Não,22 Jan 2015,1,0,1,,,,,"10,89"
Nakawak: Expanded Color Edition,Anxious Neck Games ,Anxious Neck Games ,Sim,22,Positive,1,Não,Não,11 Oct 2017,1,0,0,,,,,"2,29"
Trivia Vault: 1980's Trivia,Ripknot Systems ,Ripknot Systems ,Sim,47,Mostly Positive,1,Sim,Não,16 Aug 2017,1,1,1,,,,,"39,99"
More dark,HugePixel ,HugePixel ,Sim,13,Positive,1,Sim,Não,7 Nov 2019,6,2,6,,,,,"6,49"
Panzer Tactics HD,Sproing ,THQ Nordic ,Não,116,Mostly Positive,1,Não,Não,22 May 2014,6,0,0,INTEL-CORE-I3-1,2.048,GEFORCE-9600,,"19,99"
Mini Island,MACKINN7 ,MACKINN7 ,Sim,19,Positive,1,Não,Não,15 Nov 2019,11,0,11,,,,,"6,49"
Ironclads 2: Caroline Islands War 1885,Totem Games ,Strategy First ,Não,12,Positive,1,Não,Não,20 Jul 2017,1,0,0,outros,2.048,outros,1,"19,99"
Blood Feed,Racing Bros ,Racing Bros ,Sim,433,Very Positive,3,Não,Não,19 Jul 2017,1,1,0,,,,,"10,49"
Cube Mission,Tuwi Michael Nannings ,NanningsGames ,Sim,12,Positive,2,Sim,Não,17 Jan 2019,1,0,0,outros,8,outros,0.121,"4,49"
Campfire Cooking,Layton Hawkes ,Layton Hawkes ,Sim,27,Positive,1,Não,Não,18 Oct 2017,5,0,5,,,,,"11,99"
Memory Trainer,Educational Games ,Educational Games ,Sim,11,Positive,3,Não,Não,19 Jul 2018,1,0,0,outros,2.048,outros,0.1,"2,29"
Gebub's Adventure,John Wallie ,John Wallie ,Não,13,Positive,2,Não,Não,16 Aug 2016,1,0,1,,,,,"10,49"
Earthshine,Elleiv ,Phoenix_co ,Sim,34,Positive,3,Não,Não,9 Dec 2019,3,1,3,outros,4,outros,0.8,"4,49"
AVA,Dnovel , Dnovel ,Sim,19,Positive,1,Não,Não,21 Sep 2019,29,0,0,,,,,"28,99"
Volt,Quantized Bit ,Quantized Bit ,Sim,232,Mixed,3,Não,Não,14 Apr 2014,1,0,0,,,,,"2,29"
The Bell Chimes for Gold,OTUSUN Club ,Sekai Project ,Sim,11,Positive,1,Não,Não,6 Apr 2018,2,1,2,,,,,"20,69"
Cross of the Dutchman,Triangle Studios ,Triangle Studios ,Sim,129,Mostly Positive,3,Sim,Não,10 Sep 2015,8,0,8,outros,4,NVIDIA-GEFORCE-GTX-460,1,"17,99"
Wrack,Final Boss Entertainment ,Final Boss Entertainment ,Sim,302,Mostly Positive,1,Sim,Não,30 Sep 2014,1,0,1,outros,2,NVIDIA-8800,1,"19,99"
Hidden Object Adventure: Around the World in 80 Days,Crisp App Studio ,Crisp App Studio ,Sim,152,Mostly Positive,2,Sim,Não,24 Nov 2017,10,0,10,,,,,"6,49"
Elizabeth,中子星游戏研究所 ,Gamera Game ,Sim,24,Positive,1,Sim,Não,24 Feb 2020,2,0,2,,,,,"12,00"
Alchemist's Castle,Kabuk Games ,Kabuk Games ,Sim,49,Positive,3,Sim,Não,2 Nov 2017,3,0,3,,0.512,,0.2,"2,29"
Dark Grim Mariupolis,Team Mariupolis ,Xitilon ,Sim,24,Mostly Positive,1,Sim,Não,20 Mar 2018,2,0,2,,,,,"10,89"
