Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Warhammer Quest,"Rodeo Games, Twistplay ",Chilled Mouse ,Não,709,Mostly Positive,3,Sim,Não,7 Jan 2015,5,0,0,,,,,"27,99"
MONKEY KING: HERO IS BACK,"HEXADRIVE Inc., D4 Enterprise Co., Ltd. ",Oasis Games ,Não,298,Mixed,1,Não,Não,16 Oct 2019,12,9,12,INTEL-CORE-I7-4770K,16,NVIDIA-GTX-1060,20,"65,99"
Code of Princess,Studio Saizensen ,Degica ,Não,230,Mixed,1,Não,Não,14 Apr 2016,2,1,2,,,,,"27,99"
I will eat you,Butengo ,Butengo ,Sim,167,Very Positive,1,Não,Sim,6 Dec 2019,18,18,18,outros,8,NVIDIA-GEFORCE-GTX-970,6,"10,89"
Lessons with Chii-chan,Orcsoft ,"FAKKU, Kagura Games ",Não,55,Very Positive,1,Não,Não,12 Mar 2020,2,1,2,outros,2,NVIDIA-358,1,"37,99"
Art of Murder - Cards of Destiny,City Interactive S.A. ,City Interactive S.A. ,Não,58,Mostly Positive,1,Não,Não,23 Feb 2009,6,3,6,INTEL-PENTIUM-4-3,2,outros,2,"10,89"
Halo: Spartan Assault,"Vanguard Games, 343 Industries ",Xbox Game Studios ,Não,3346,Very Positive,1,Sim,Sim,4 Apr 2014,11,4,11,outros,2,outros,2.55,"6,29"
JUMANJI: The Video Game,Funsolve LTD ,Outright Games LTD. ,Não,18,Mixed,1,Não,Não,8 Nov 2019,10,3,10,outros,4,,5,"57,99"
Delicious - Emily's Message in a Bottle,GameHouse ,GameHouse ,Sim,65,Very Positive,2,Não,Não,10 Dec 2016,14,0,14,,,,,"25,99"
神舞幻想 Faith of Danschant,北京九鳳信息科技有限公司 ,北京网元圣唐娱乐科技有限公司 ,Não,3231,Mixed,1,Sim,Não,21 Dec 2017,3,2,2,INTEL-CORE-I7-6700,16,NVIDIA-GEFORCE-GTX-970,,"57,99"
Pixel Dominance,Stepan Sheygas ,Broken Pixel ,Sim,10,Positive,1,Não,Não,5 Feb 2020,3,1,3,outros,4,GEFORCE-GTX-1050,0.315,"8,69"
THE LAST BLADE,"SNK CORPORATION, Dotemu ",SNK CORPORATION ,Não,83,Mostly Positive,1,Não,Não,31 Aug 2016,8,1,2,outros,2,outros,0.5,"19,99"
NAMCO MUSEUM ARCHIVES Vol 1,"M2 Co.,LTD ",BANDAI NAMCO Entertainment ,Não,19,Positive,1,Sim,Sim,17 Jun 2020,1,0,1,INTEL-CORE-I7-3770,8,NVIDIA-GTX-760,1,"79,90"
